Title,Note,URL,Tags,Comment
Le Point Value Thrift,,https://www.google.com/maps/place/Le+Point+Value+Thrift/data=!4m2!3m1!1s0x89c25c18af938113:0x61d52cd3a54c3a4,,
Cure Thrift,,https://www.google.com/maps/place/Cure+Thrift/data=!4m2!3m1!1s0x89c25999366bfc89:0xbe33086c91fdc35f,,
Sammy's Roumanian Steak House,,https://www.google.com/maps/place/Sammy's+Roumanian+Steak+House/data=!4m2!3m1!1s0x89c2598641111ae1:0xb0c0dda861554fa9,,
Strand Bookstore,,https://www.google.com/maps/place/Strand+Bookstore/data=!4m2!3m1!1s0x89c259991086229d:0x5ecdcafc0a628a40,,
Nickey · Kehoe,,https://www.google.com/maps/place/Nickey+%C2%B7+Kehoe/data=!4m2!3m1!1s0x89c259a49e4f0745:0xb7808c6b9f41cb76,,
Quarters,,https://www.google.com/maps/place/Quarters/data=!4m2!3m1!1s0x89c259001a7aa719:0x5e754301157726ef,,
Achille Salvagni Atelier,,https://www.google.com/maps/place/Achille+Salvagni+Atelier/data=!4m2!3m1!1s0x89c259e6a22354c9:0xe6b2a01571f02658,,
modernlink,,https://www.google.com/maps/place/modernlink/data=!4m2!3m1!1s0x89c2598540cce477:0xb09bd108398e8747,,
ANTIK,,https://www.google.com/maps/place/ANTIK/data=!4m2!3m1!1s0x89c25b1d30a3d03b:0x5ab1e423907f5e7a,,
Brooklyn Botanic Garden,,https://www.google.com/maps/place/Brooklyn+Botanic+Garden/data=!4m2!3m1!1s0x89c25b0e68bf8bc1:0x57422fe45b635cda,,
abc carpet & home,,https://www.google.com/maps/place/abc+carpet+%26+home/data=!4m2!3m1!1s0x89c25ab94a6ffc7f:0x5700dcb6afa9c931,,
abc carpet & home,,https://www.google.com/maps/place/abc+carpet+%26+home/data=!4m2!3m1!1s0x89c259a22f66e37b:0x3fddb82236d24065,,
The Primary Essentials,,https://www.google.com/maps/place/The+Primary+Essentials/data=!4m2!3m1!1s0x89c2598854c9a06f:0xe720c8a06ade2c70,,
Merz b. Schwanen | Store,,https://www.google.com/maps/place/Merz+b.+Schwanen+%7C+Store/data=!4m2!3m1!1s0x89c259000743e37b:0x1a3582814b0cf39e,,
"Amelie, Maison d’Art",,"https://www.google.com/maps/place/Amelie,+Maison+d%E2%80%99Art/data=!4m2!3m1!1s0x89c259000e8e2f6f:0xc53007d8c1807923",,
The Drawing Center,,https://www.google.com/maps/place/The+Drawing+Center/data=!4m2!3m1!1s0x89c2598b90ae350d:0x2d5765673e224711,,
La DoubleJ,,https://www.google.com/maps/place/La+DoubleJ/data=!4m2!3m1!1s0x89c259f7d408fa89:0xd574d5d8cf55e3e9,,
Invisible Collection,,https://www.google.com/maps/place/Invisible+Collection/data=!4m2!3m1!1s0x89c259de5a8b0873:0x1c53cd662141cd4f,,
Mantiques Modern,,https://www.google.com/maps/place/Mantiques+Modern/data=!4m2!3m1!1s0x89c259bb4c0603fb:0xe85d3121f45c8cdf,,
Lalique Townhouse | Maison D’Artiste,,https://www.google.com/maps/place/Lalique+Townhouse+%7C+Maison+D%E2%80%99Artiste/data=!4m2!3m1!1s0x89c258faaffd8c8b:0x230553dc51598d42,,
John Derian Company Inc,,https://www.google.com/maps/place/John+Derian+Company+Inc/data=!4m2!3m1!1s0x89c25984de8225bd:0x676a068920300bb7,,
John Derian Drygoods,,https://www.google.com/maps/place/John+Derian+Drygoods/data=!4m2!3m1!1s0x89c25984ddae97fb:0x4ad3002bc709e795,,
ER HOT POT - 6TH AVE 贰火锅,,https://www.google.com/maps/place/ER+HOT+POT+-+6TH+AVE+%E8%B4%B0%E7%81%AB%E9%94%85/data=!4m2!3m1!1s0x89c259baabc1cfb9:0x6a2d38a7ef3ade,,
Dagg Thai Restaurant,,https://www.google.com/maps/place/Dagg+Thai+Restaurant/data=!4m2!3m1!1s0x89c259590dc2d9c3:0x319d7156d722b860,,
Assouline at the Plaza,,https://www.google.com/maps/place/Assouline+at+the+Plaza/data=!4m2!3m1!1s0x89c258f07d5da561:0x3c0aac48b2f3971b,,
Assouline at the Mark,,https://www.google.com/maps/place/Assouline+at+the+Mark/data=!4m2!3m1!1s0x89c2589444bf5e43:0xa774b61f58426f8e,,
Assouline at the D&D,,https://www.google.com/maps/place/Assouline+at+the+D%26D/data=!4m2!3m1!1s0x89c258e5c6e9fdf5:0x4daa39f1c32ec202,,
WatchHouse 5th Ave.,,https://www.google.com/maps/place/WatchHouse+5th+Ave./data=!4m2!3m1!1s0x89c259649c689125:0x578be17cca505252,,
KRB,,https://www.google.com/maps/place/KRB/data=!4m2!3m1!1s0x89c258be1f53cd4b:0x8b280e0ace9d1272,,
Creel and Gow,,https://www.google.com/maps/place/Creel+and+Gow/data=!4m2!3m1!1s0x89c258eba6a85a81:0xd306deda094280a0,,
Le Alfré,,https://www.google.com/maps/place/Le+Alfr%C3%A9/data=!4m2!3m1!1s0x29e5874a5ba1d4b7:0xe28565bf9ec7b5a5,,
Wildair,,https://www.google.com/maps/place/Wildair/data=!4m2!3m1!1s0x89c25a29d0319b7d:0x68b27fd63118d308,,
Minetta Tavern,,https://www.google.com/maps/place/Minetta+Tavern/data=!4m2!3m1!1s0x89c2599196190779:0xf5f0efaba6878e,,
